address,price,lot_sqft,Zoning,sqft_per_unit,max_units,price_per_unit
9926  Beverly Grove Drive,7995000,27670.0,RE20-1-H-HCR,20000.0,1.3835,5778822.0
15744  Beaver Run Road,1575000,27636.0,Outside LA (No Zoning),0.0,,
16875  Calle De Sarah,7495000,27609.0,RE15-1-H,15000.0,1.8406,4072042.0
65  Woodland Lane,7200000,27545.0,Outside LA (No Zoning),0.0,,
5904  Village Drive,4999000,27537.0,Outside LA (No Zoning),0.0,,
20033 E Skyline Dr,2680000,27530.0,Outside LA (No Zoning),0.0,,
1639  Mandeville Canyon Road,9800000,27443.0,RE20-1-H,20000.0,1.37215,7142076.0
12417  Mulholland Drive,3450000,27443.0,RE40-1-H,40000.0,0.686075,5028605.0
9442  Hillrose,775000,0.63,RE40-1-K,40000.0,1.575e-05,49206349206.0
24409  Voltara Court,2849000,27336.0,Outside LA (No Zoning),0.0,,
1501 S Alpine Drive,1886600,27315.0,Outside LA (No Zoning),0.0,,
3123  Stone Oak Drive,6999000,27276.0,RE40-1-H,40000.0,0.6819,10263968.0
4950  Woodley Avenue,3474500,27262.0,RE9-1,9000.0,3.0291111111111113,1147036.0
16326  Nordhoff Street,2500000,27230.0,A2-1,5000.0,5.446,459053.0
1870  Marcheeta Place,3850000,27225.0,RE15-1-H-HCR,15000.0,1.815,2121212.0
4430  Natoma Avenue,2399000,27206.0,RA-1,17500.0,1.5546285714285715,1543134.0
4923  Amigo Avenue,4800000,27198.0,RA-1,17500.0,1.5541714285714285,3088462.0
1754  Mandeville Canyon Road,7195000,27138.0,RE15-1-H,15000.0,1.8092,3976896.0
4641 N Virginia Road,3999999,27052.0,Outside LA (No Zoning),0.0,,
19631  Rosita Street,1825000,26934.0,RA-1,17500.0,1.5390857142857144,1185769.0
3520  Longridge Avenue,1799000,26929.0,RE15-1-H,15000.0,1.7952666666666666,1002080.0
3375  Coldwater Canyon Avenue,1995000,26910.0,RE40-1-H,40000.0,0.67275,2965440.0
10386  Strathmore Drive,21995000,26848.0,R1-1,5000.0,5.3696,4096208.0
1883  Rising Glen Road,10800000,26838.0,RE15-1-H-HCR,15000.0,1.7892,6036217.0
1425  Wentworth Avenue,4998000,26810.0,Outside LA (No Zoning),0.0,,
24603  Westwind Place,995000,26789.0,Outside LA (No Zoning),0.0,,
28056  Palos Verdes Dr E,3350000,26784.0,Outside LA (No Zoning),0.0,,
1911  La Mesa Drive,15995000,26762.0,Outside LA (No Zoning),0.0,,
601 S Windsor Boulevard,13900000,26757.0,RE15-1-HPOZ,15000.0,1.7838,7792353.0
826  Greenway Drive,42000000,26743.0,Outside LA (No Zoning),0.0,,
1326  Beverly Estates Drive,12995000,26712.0,RE20-1-H-HCR,20000.0,1.3356,9729709.0
602 N Beverly Drive,14595000,26647.0,Outside LA (No Zoning),0.0,,
1061  Loma Vista Drive,19995000,26646.0,Outside LA (No Zoning),0.0,,
27846  Palos Verdes Drive,2199000,26646.0,Outside LA (No Zoning),0.0,,
27138  Diamondhead Lane,2199000,26631.0,Outside LA (No Zoning),0.0,,
433  Paseo De La Playa,22500000,26587.0,Outside LA (No Zoning),0.0,,
419  St Cloud Road,39500000,26992.0,RE20-1-H-HCR,20000.0,1.3496,29267931.0
22329  Plummer Street,2150000,0.61,RA-1,17500.0,3.485714285714286e-05,61680327869.0
3760  Mayfair,3240000,26457.0,RE20-1-HCR,20000.0,1.32285,2449257.0
811 N Hillcrest Road,9995000,26436.0,Outside LA (No Zoning),0.0,,
164 N Bristol Avenue,27500000,26416.0,RE20-1,20000.0,1.3208,20820715.0
22851  Calvert Street,3750000,26382.0,RA-1,17500.0,1.507542857142857,2487491.0
20487  Gartel Drive,3780000,26358.0,Outside LA (No Zoning),0.0,,
1280  Monte Cielo Drive,6395000,26287.0,Outside LA (No Zoning),0.0,,
36  Pony Lane,2749000,26273.0,Outside LA (No Zoning),0.0,,
15401  Saticoy Street,1650000,26231.0,Outside LA (No Zoning),0.0,,
5107  Los Hermosos Way,8895000,26224.0,RE11-1,11000.0,2.384,3731124.0
1118 S 4th Avenue,5200000,26149.0,Outside LA (No Zoning),0.0,,
20  Latimer Road,8250000,26145.0,RE11-1,11000.0,2.376818181818182,3471027.0
608  Arbolada,5080000,0.6,Outside LA (No Zoning),0.0,,
4425  Haskell Avenue,18000000,26105.0,R1-1,5000.0,5.221,3447615.0
5354  Vanalden Avenue,6400000,26054.0,RA-1,17500.0,1.4888,4298764.0
3831  Saint Johnswood Drive,1790000,26053.0,Outside LA (No Zoning),0.0,,
10560  Dolcedo Way,5900000,25966.0,RE20-1-H-HCR,20000.0,1.2983,4544404.0
4009  Valley Meadow Road,12450000,25934.0,RE15-1-H,15000.0,1.7289333333333334,7200972.0
3596  Woodhill Canyon Road,6995000,25919.0,RE15-1-H,15000.0,1.7279333333333333,4048189.0
645 W Foothill Boulevard,2500000,25894.0,Outside LA (No Zoning),0.0,,
915  Hartford Way,17495000,25863.0,Outside LA (No Zoning),0.0,,
3825  Longridge Avenue,10900000,25842.0,RE15-1-H,15000.0,1.7228,6326910.0
15091  Rayneta Drive,3875000,25840.0,R1-1,5000.0,5.168,749807.0
184 S Rockingham Avenue,14995000,25832.0,RE20-1,20000.0,1.2916,11609631.0
22910  Collins Street,3095000,25760.0,RE9-1,9000.0,2.862222222222222,1081328.0
1455  Robmar Drive,8500000,25739.0,RE15-1-H-HCR,15000.0,1.7159333333333333,4953572.0
530  Leslie Lane,24000000,25703.0,Outside LA (No Zoning),0.0,,
2969 E Hillside Drive,1628000,0.59,Outside LA (No Zoning),0.0,,
1296  Marinette,3249000,25698.0,RE15-1-H,15000.0,1.7132,1896451.0
3933  Mandeville Canyon Road,2100000,25681.0,RE15-1-H,15000.0,1.7120666666666666,1226588.0
22442  Sueno Road,3200000,25671.0,RE40-1,40000.0,0.641775,4986171.0
1760  Carla,13500000,25642.0,Outside LA (No Zoning),0.0,,
22368  Pacific Coast Highway,57500000,25608.0,Outside LA (No Zoning),0.0,,
1450  1450 Arroyo View Drive,3395000,25590.0,Outside LA (No Zoning),0.0,,
18053  Blue Sail Drive,3350000,25574.0,RE15-1-H,15000.0,1.7049333333333334,1964886.0
2521  Doubletree,1988000,25524.0,Outside LA (No Zoning),0.0,,
7651  Willow Glen Road,6299000,25504.0,RE11-1-HCR,11000.0,2.3185454545454545,2716790.0
11222  Bellagio Road,5195000,25475.0,RE20-1-H-HCR,20000.0,1.27375,4078508.0
2528  Sleepy Hollow Drive,2350000,25424.0,Outside LA (No Zoning),0.0,,
7  Cinnamon Lane,1450000,25314.0,Outside LA (No Zoning),0.0,,
250 S Rockingham Avenue,41950000,25303.0,Outside LA (No Zoning),0.0,,
1132  Chantilly Road,2999000,25299.0,RE20-1-H-HCR,20000.0,1.26495,2370845.0
1132  Chantilly Road,3195000,25299.0,RE20-1-H-HCR,20000.0,1.26495,2525792.0
852 W Beach Avenue,480000,25282.0,Outside LA (No Zoning),0.0,,
13360  Chalon Road,6850000,25260.0,RE40-1-H,40000.0,0.6315,10847189.0
338 S 4th Avenue,999989,25252.0,Outside LA (No Zoning),0.0,,
9705  Oak Pass Road,19995000,25234.0,RE20-1-H-HCR,20000.0,1.2617,15847666.0
940  Singing Wood Drive,4838000,25218.0,Outside LA (No Zoning),0.0,,
605  Daniel Freeman Circle,1199000,25214.0,Outside LA (No Zoning),0.0,,
245  Snapdragon Lane,2488888,25170.0,Outside LA (No Zoning),0.0,,
6210  Penfield Avenue,2295000,25163.0,RA-1VL,17500.0,1.4378857142857142,1596093.0
1705  Summitridge Drive,7495000,25155.0,RE20-1-H-HCR,20000.0,1.25775,5959054.0
1535  Umeo Road,13799000,25142.0,RE15-1-H,15000.0,1.6761333333333333,8232639.0
927 N Whittier Drive,37500000,25121.0,Outside LA (No Zoning),0.0,,
1675  Carla,29950000,25099.0,Outside LA (No Zoning),0.0,,
2504  Martingail Drive,1688888,25038.0,Outside LA (No Zoning),0.0,,
